Couch ID,Type of Birth
bc5589ec1ab85fc0900fd8afd1f48732,Second Twin
bc5589ec1ab85fc0900fd8afd1f49f09,Twin
bc5589ec1ab85fc0900fd8afd1f5881c,Twin
bc7aa1298db155467c95388bba0f7e23,Second Twin
bc7aa1298db155467c95388bba0f8129,Twin
bc7aa1298db155467c95388bba0fd982,Second Twin
bc7aa1298db155467c95388bba0fdfed,Twin
bcd7ffaffd0389a2d6c2a3cce169059a,Second Twin
bcd7ffaffd0389a2d6c2a3cce1690d55,Twin
bcd7ffaffd0389a2d6c2a3cce16a5349,Twin
bcd7ffaffd0389a2d6c2a3cce16a5fc4,Twin
bcd7ffaffd0389a2d6c2a3cce16b57d2,""
bcf60afd1711446dd64e80de7551becf,Second Twin
bcf60afd1711446dd64e80de7551ce37,Twin
bcf60afd1711446dd64e80de755313d8,Second Twin
bcf60afd1711446dd64e80de755316c9,Second Twin
bcf60afd1711446dd64e80de75531a64,Twin
bcf60afd1711446dd64e80de75d222da,Twin
bd03c2544c07afacf167c363790fe4df,Twin
bd1d3298566bda3c97601e06a91b51f3,""
bd22f79ad766a6ac477bb23201ac82cf,Second Twin
bd3795a86ef1ae502175084b8df97f8e,""
bd3795a86ef1ae502175084b8dfd9cce,""
bd77e8042bddc55027f690e927efdc12,""
be17b84a543626362b41263f9e07a1cc,Second Twin
be17b84a543626362b41263f9e07b07b,Twin
be2547645e99d465d25f5f0fde4a66b4,""
be49269bd4e724c0497af46fb863d75c,""
be5f0378f1f00a993ff9678ed00fbc48,Second Twin
be5f0378f1f00a993ff9678ed00fc002,Twin
be61d04875e899dcde33db4728c644ea,Twin
be8871265aff99ac795d135579034500,Twin
be8871265aff99ac795d135579bcd36d,Twin
be96422f268ddd80a3734ca9cc3b0bf8,Second Twin
be96422f268ddd80a3734ca9cc3b9e20,Twin
be96422f268ddd80a3734ca9cce106c5,Twin
be96422f268ddd80a3734ca9ccffc45f,Twin
be9b88c6df98bc79e95f43447518cad7,Twin
bea18e20a0e71ec5aaca1cea56195d24,Second Twin
bea18e20a0e71ec5aaca1cea56196b1b,Twin
bea18e20a0e71ec5aaca1cea5619704d,Second Twin
bea18e20a0e71ec5aaca1cea561977c4,Twin
bea18e20a0e71ec5aaca1cea561c3dd5,Second Twin
bea18e20a0e71ec5aaca1cea561c4469,Twin
bea18e20a0e71ec5aaca1cea561da94c,Second Twin
bea18e20a0e71ec5aaca1cea561daf0f,Twin
bea18e20a0e71ec5aaca1cea561ddb4d,Second Twin
bea18e20a0e71ec5aaca1cea561ddedd,Twin
bea18e20a0e71ec5aaca1cea561e04f1,Second Twin
bea18e20a0e71ec5aaca1cea561e5394,Second Twin
bea18e20a0e71ec5aaca1cea561e5aa2,Twin
bec48e0403c54dadcafe89d694139c14,Second Twin
bec48e0403c54dadcafe89d69413a7b3,Twin
bec48e0403c54dadcafe89d69454a8cf,Twin
bec48e0403c54dadcafe89d69454d276,Second Twin
bec48e0403c54dadcafe89d69454dbbd,Twin
bec48e0403c54dadcafe89d694557ecf,Second Twin
bec48e0403c54dadcafe89d694558b3f,Twin
bec48e0403c54dadcafe89d69455aa3f,Second Twin
bec48e0403c54dadcafe89d69455b6bc,Twin
bec48e0403c54dadcafe89d69455c2c3,Second Twin
bec48e0403c54dadcafe89d69455c2c4,Twin
bec48e0403c54dadcafe89d69457981a,Twin
bec48e0403c54dadcafe89d694999329,Second Twin
bec48e0403c54dadcafe89d694999624,Twin
bec48e0403c54dadcafe89d69499d9ac,Second Twin
bec48e0403c54dadcafe89d69499daca,Twin
bec48e0403c54dadcafe89d6949a7675,Second Twin
bec48e0403c54dadcafe89d6949a7e74,Twin
bec48e0403c54dadcafe89d6949abe1f,""
bec48e0403c54dadcafe89d6949ae23c,""
bec48e0403c54dadcafe89d6949b33c0,Twin
bec48e0403c54dadcafe89d6949c5eb5,Third Triplet
bec48e0403c54dadcafe89d6949c62c2,Second Triplet
bec48e0403c54dadcafe89d6949c6511,Triplet
becba71d4261a5853eb20230da21faa8,Twin
bf1073d7e3b23a8bf3024838555bde64,Twin
bf1073d7e3b23a8bf3024838555c09a3,Second Twin
bf1073d7e3b23a8bf3024838555c1290,Twin
bf1073d7e3b23a8bf302483855b9b2c8,""
bf1073d7e3b23a8bf302483855b9b6dc,Second Twin
bf1619fbfb6afb303e8a510d48dc7449,""
bf2af1c916d63b492f02524d3bce01d0,Second Twin
bf2af1c916d63b492f02524d3bce0cfe,Second Twin
bf2af1c916d63b492f02524d3bce15ef,First Twin
bf2af1c916d63b492f02524d3bceeccd,Second Twin
bf2af1c916d63b492f02524d3bcf082a,""
bf46c1660a0028e10dda08ba311b18f3,Second Twin
bf46c1660a0028e10dda08ba311b2180,First Twin
bf46c1660a0028e10dda08ba311b2eec,Second Twin
bf46c1660a0028e10dda08ba311ca4bc,Second Twin
bf46c1660a0028e10dda08ba311cafe5,First Twin
bf6061c98ee083c071a574db2351d437,Second Twin
bf7f5e776acab29ac340cfe43c55713a,Second Triplet
bf7f5e776acab29ac340cfe43c577d1d,Second Twin
bf7f5e776acab29ac340cfe43c578626,First Twin
bf7f5e776acab29ac340cfe43c59383e,Second Twin
bf7f5e776acab29ac340cfe43c593b61,First Twin
bf8c248a629c7db29b2348a5a88a46d3,Second Twin
bf8c248a629c7db29b2348a5a88a5425,Twin
bf8c248a629c7db29b2348a5a88cd16d,""
bf8c248a629c7db29b2348a5a88ce40a,Second Twin
bf8c248a629c7db29b2348a5a88cf27c,Twin
bf8c248a629c7db29b2348a5a88d8ebc,Twin
bf8c248a629c7db29b2348a5a88db6a7,Second Twin
bf8c248a629c7db29b2348a5a88dbf8c,Twin
bf8c248a629c7db29b2348a5a88dff9b,Second Twin
bf8c248a629c7db29b2348a5a88e02cd,Twin
